항목,부서경로,데이터종류,연도,종류,월,구분,주차,값,원본셀,연도구분
fixed_prod_control,부문5_제품1 / 제품1 / 고정비,`25년 실적,2025,실적,1,월계,,191.907704,"고정비_생산,제판법인Control!F8",전년
fixed_prod_control,부문5_제품1 / 제품1 / 고정비,`25년 실적,2025,실적,2,월계,,364.490679,"고정비_생산,제판법인Control!G8",전년
fixed_prod_control,부문5_제품1 / 제품1 / 고정비,`25년 실적,2025,실적,3,월계,,137.027762,"고정비_생산,제판법인Control!H8",전년
fixed_prod_control,부문5_제품1 / 제품1 / 고정비,`25년 실적,2025,실적,4,월계,,66.295839,"고정비_생산,제판법인Control!I8",전년
fixed_prod_control,부문5_제품1 / 제품1 / 고정비,`26년 목표,2026,목표,1,월계,,224.480857,"고정비_생산,제판법인Control!F9",당해
fixed_prod_control,부문5_제품1 / 제품1 / 고정비,`26년 목표,2026,목표,2,월계,,379.11222,"고정비_생산,제판법인Control!G9",당해
fixed_prod_control,부문5_제품1 / 제품1 / 고정비,`26년 목표,2026,목표,3,월계,,184.508283,"고정비_생산,제판법인Control!H9",당해
fixed_prod_control,부문5_제품1 / 제품1 / 고정비,`26년 목표,2026,목표,4,월계,,396.944215,"고정비_생산,제판법인Control!I9",당해
fixed_prod_control,부문5_제품1 / 제품1 / 고정비,`26년 실적,2026,실적,1,월계,,239.389019,"고정비_생산,제판법인Control!F10",당해
fixed_prod_control,부문5_제품1 / 제품1 / 고정비,`26년 실적,2026,실적,2,월계,,114.025091,"고정비_생산,제판법인Control!G10",당해
fixed_prod_control,부문5_제품1 / 제품1 / 고정비,`26년 실적,2026,실적,3,월계,,396.153925,"고정비_생산,제판법인Control!H10",당해
fixed_prod_control,부문5_제품1 / 제품1 / 고정비,`26년 실적,2026,실적,4,월계,,182.667417,"고정비_생산,제판법인Control!I10",당해
fixed_prod_control,부문5_제품1 / 법인1 / 고정비,`25년 실적,2025,실적,1,월계,,116.14041,"고정비_생산,제판법인Control!F13",전년
fixed_prod_control,부문5_제품1 / 법인1 / 고정비,`25년 실적,2025,실적,2,월계,,60.047023,"고정비_생산,제판법인Control!G13",전년
fixed_prod_control,부문5_제품1 / 법인1 / 고정비,`25년 실적,2025,실적,3,월계,,132.328064,"고정비_생산,제판법인Control!H13",전년
fixed_prod_control,부문5_제품1 / 법인1 / 고정비,`25년 실적,2025,실적,4,월계,,165.9975,"고정비_생산,제판법인Control!I13",전년
fixed_prod_control,부문5_제품1 / 법인1 / 고정비,`26년 목표,2026,목표,1,월계,,186.178555,"고정비_생산,제판법인Control!F14",당해
