항목,부서경로,데이터종류,연도,종류,월,구분,주차,값,원본셀,연도구분
fixed_rawdata,제품1 / 광고비,`25년 실적,2025,실적,1,월계,,16.688764,고정비_Rawdata!D29,전년
fixed_rawdata,제품1 / 광고비,`25년 실적,2025,실적,2,월계,,24.320362,고정비_Rawdata!E29,전년
fixed_rawdata,제품1 / 광고비,`25년 실적,2025,실적,3,월계,,27.693252,고정비_Rawdata!F29,전년
fixed_rawdata,제품1 / 광고비,`25년 실적,2025,실적,4,월계,,59.73971,고정비_Rawdata!G29,전년
fixed_rawdata,제품1 / 광고비,`25년 실적,2025,실적,5,월계,,17.328253,고정비_Rawdata!H29,전년
fixed_rawdata,제품1 / 광고비,`25년 실적,2025,실적,6,월계,,4.420408,고정비_Rawdata!I29,전년
fixed_rawdata,제품1 / 광고비,`25년 실적,2025,실적,7,월계,,53.552917,고정비_Rawdata!J29,전년
fixed_rawdata,제품1 / 광고비,`25년 실적,2025,실적,8,월계,,34.693815,고정비_Rawdata!K29,전년
fixed_rawdata,제품1 / 광고비,`25년 실적,2025,실적,9,월계,,42.703856,고정비_Rawdata!L29,전년
fixed_rawdata,제품1 / 광고비,`25년 실적,2025,실적,10,월계,,17.328253,고정비_Rawdata!M29,전년
fixed_rawdata,제품1 / 광고비,`25년 실적,2025,실적,11,월계,,19.366313,고정비_Rawdata!N29,전년
fixed_rawdata,제품1 / 광고비,`25년 실적,2025,실적,12,월계,,53.552917,고정비_Rawdata!O29,전년
fixed_rawdata,제품1 / 광고비,`26년 목표,2026,목표,1,월계,,11.908059,고정비_Rawdata!Q29,당해
fixed_rawdata,제품1 / 광고비,`26년 목표,2026,목표,2,월계,,28.31935,고정비_Rawdata!R29,당해
fixed_rawdata,제품1 / 광고비,`26년 목표,2026,목표,3,월계,,29.236404,고정비_Rawdata!S29,당해
fixed_rawdata,제품1 / 광고비,`26년 목표,2026,목표,4,월계,,29.176663,고정비_Rawdata!T29,당해
fixed_rawdata,제품1 / 광고비,`26년 목표,2026,목표,5,월계,,11.908059,고정비_Rawdata!U29,당해
fixed_rawdata,제품1 / 광고비,`26년 목표,2026,목표,6,월계,,20.228582,고정비_Rawdata!V29,당해
fixed_rawdata,제품1 / 광고비,`26년 목표,2026,목표,7,월계,,31.618519,고정비_Rawdata!W29,당해
fixed_rawdata,제품1 / 광고비,`26년 목표,2026,목표,8,월계,,9.25542,고정비_Rawdata!X29,당해
fixed_rawdata,제품1 / 광고비,`26년 목표,2026,목표,9,월계,,20.228582,고정비_Rawdata!Y29,당해
fixed_rawdata,제품1 / 광고비,`26년 목표,2026,목표,10,월계,,7.709729,고정비_Rawdata!Z29,당해
fixed_rawdata,제품1 / 광고비,`26년 목표,2026,목표,11,월계,,29.176663,고정비_Rawdata!AA29,당해
fixed_rawdata,제품1 / 광고비,`26년 목표,2026,목표,12,월계,,4.420408,고정비_Rawdata!AB29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,1,월계,,45.781502,고정비_Rawdata!AD29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,1,주차,W1,48.688513,고정비_Rawdata!AE29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,1,주차,W2,45.999024,고정비_Rawdata!AF29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,1,주차,W3,48.688513,고정비_Rawdata!AG29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,1,주차,W4,45.999024,고정비_Rawdata!AH29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,1,주차,W5,48.688513,고정비_Rawdata!AI29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,2,월계,,110.82028,고정비_Rawdata!AJ29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,2,주차,W6,65.752867,고정비_Rawdata!AK29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,2,주차,W7,65.752867,고정비_Rawdata!AL29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,2,주차,W8,65.752867,고정비_Rawdata!AM29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,2,주차,W9,65.752867,고정비_Rawdata!AN29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,3,월계,,30.68119,고정비_Rawdata!AO29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,3,주차,W10,139.356045,고정비_Rawdata!AP29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,3,주차,W11,139.356045,고정비_Rawdata!AQ29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,3,주차,W12,38.55797,고정비_Rawdata!AR29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,3,주차,W13,75.621039,고정비_Rawdata!AS29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,3,주차,W14,189.305903,고정비_Rawdata!AT29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,4,월계,,149.352273,고정비_Rawdata!AU29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,4,주차,W14,55.702692,고정비_Rawdata!AV29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,4,주차,W15,55.702692,고정비_Rawdata!AW29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,4,주차,W16,116.807139,고정비_Rawdata!AX29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,4,주차,W17,55.702692,고정비_Rawdata!AY29,당해
fixed_rawdata,제품1 / 광고비,`26년 실적,2026,실적,4,주차,W18,116.807139,고정비_Rawdata!AZ29,당해
fixed_rawdata,제품1 / 경시비,`25년 실적,2025,실적,1,월계,,16.688764,고정비_Rawdata!D30,전년
fixed_rawdata,제품1 / 경시비,`25년 실적,2025,실적,2,월계,,29.383119,고정비_Rawdata!E30,전년
fixed_rawdata,제품1 / 경시비,`25년 실적,2025,실적,3,월계,,37.173353,고정비_Rawdata!F30,전년
fixed_rawdata,제품1 / 경시비,`25년 실적,2025,실적,4,월계,,19.602052,고정비_Rawdata!G30,전년
fixed_rawdata,제품1 / 경시비,`25년 실적,2025,실적,5,월계,,37.737699,고정비_Rawdata!H30,전년
fixed_rawdata,제품1 / 경시비,`25년 실적,2025,실적,6,월계,,24.320362,고정비_Rawdata!I30,전년
fixed_rawdata,제품1 / 경시비,`25년 실적,2025,실적,7,월계,,27.693252,고정비_Rawdata!J30,전년
fixed_rawdata,제품1 / 경시비,`25년 실적,2025,실적,8,월계,,34.833263,고정비_Rawdata!K30,전년
fixed_rawdata,제품1 / 경시비,`25년 실적,2025,실적,9,월계,,31.618519,고정비_Rawdata!L30,전년
fixed_rawdata,제품1 / 경시비,`25년 실적,2025,실적,10,월계,,73.146286,고정비_Rawdata!M30,전년
fixed_rawdata,제품1 / 경시비,`25년 실적,2025,실적,11,월계,,17.242908,고정비_Rawdata!N30,전년
fixed_rawdata,제품1 / 경시비,`25년 실적,2025,실적,12,월계,,37.111761,고정비_Rawdata!O30,전년
fixed_rawdata,제품1 / 경시비,`26년 목표,2026,목표,1,월계,,31.618519,고정비_Rawdata!Q30,당해
fixed_rawdata,제품1 / 경시비,`26년 목표,2026,목표,2,월계,,15.438232,고정비_Rawdata!R30,당해
fixed_rawdata,제품1 / 경시비,`26년 목표,2026,목표,3,월계,,17.328253,고정비_Rawdata!S30,당해
fixed_rawdata,제품1 / 경시비,`26년 목표,2026,목표,4,월계,,59.73971,고정비_Rawdata!T30,당해
fixed_rawdata,제품1 / 경시비,`26년 목표,2026,목표,5,월계,,14.656931,고정비_Rawdata!U30,당해
fixed_rawdata,제품1 / 경시비,`26년 목표,2026,목표,6,월계,,28.31935,고정비_Rawdata!V30,당해
fixed_rawdata,제품1 / 경시비,`26년 목표,2026,목표,7,월계,,17.328253,고정비_Rawdata!W30,당해
fixed_rawdata,제품1 / 경시비,`26년 목표,2026,목표,8,월계,,29.236404,고정비_Rawdata!X30,당해
fixed_rawdata,제품1 / 경시비,`26년 목표,2026,목표,9,월계,,29.176663,고정비_Rawdata!Y30,당해
fixed_rawdata,제품1 / 경시비,`26년 목표,2026,목표,10,월계,,37.173353,고정비_Rawdata!Z30,당해
fixed_rawdata,제품1 / 경시비,`26년 목표,2026,목표,11,월계,,37.111761,고정비_Rawdata!AA30,당해
fixed_rawdata,제품1 / 경시비,`26년 목표,2026,목표,12,월계,,32.499095,고정비_Rawdata!AB30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,1,월계,,37.712732,고정비_Rawdata!AD30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,1,주차,W1,37.06995,고정비_Rawdata!AE30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,1,주차,W2,37.06995,고정비_Rawdata!AF30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,1,주차,W3,37.06995,고정비_Rawdata!AG30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,1,주차,W4,37.06995,고정비_Rawdata!AH30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,1,주차,W5,37.06995,고정비_Rawdata!AI30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,2,월계,,65.771563,고정비_Rawdata!AJ30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,2,주차,W6,58.168763,고정비_Rawdata!AK30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,2,주차,W7,58.168763,고정비_Rawdata!AL30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,2,주차,W8,58.168763,고정비_Rawdata!AM30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,2,주차,W9,58.168763,고정비_Rawdata!AN30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,3,월계,,75.134578,고정비_Rawdata!AO30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,3,주차,W10,75.323007,고정비_Rawdata!AP30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,3,주차,W11,75.323007,고정비_Rawdata!AQ30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,3,주차,W12,75.323007,고정비_Rawdata!AR30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,3,주차,W13,75.323007,고정비_Rawdata!AS30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,3,주차,W14,75.323007,고정비_Rawdata!AT30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,4,월계,,66.94465,고정비_Rawdata!AU30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,4,주차,W14,73.274613,고정비_Rawdata!AV30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,4,주차,W15,73.274613,고정비_Rawdata!AW30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,4,주차,W16,75.9798,고정비_Rawdata!AX30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,4,주차,W17,73.274613,고정비_Rawdata!AY30,당해
fixed_rawdata,제품1 / 경시비,`26년 실적,2026,실적,4,주차,W18,75.9798,고정비_Rawdata!AZ30,당해
fixed_rawdata,제품1 / 인건비,`25년 실적,2025,실적,1,월계,,33.084154,고정비_Rawdata!D31,전년
fixed_rawdata,제품1 / 인건비,`25년 실적,2025,실적,2,월계,,37.111761,고정비_Rawdata!E31,전년
fixed_rawdata,제품1 / 인건비,`25년 실적,2025,실적,3,월계,,73.146286,고정비_Rawdata!F31,전년
fixed_rawdata,제품1 / 인건비,`25년 실적,2025,실적,4,월계,,32.499095,고정비_Rawdata!G31,전년
fixed_rawdata,제품1 / 인건비,`25년 실적,2025,실적,5,월계,,19.366313,고정비_Rawdata!H31,전년
fixed_rawdata,제품1 / 인건비,`25년 실적,2025,실적,6,월계,,17.328253,고정비_Rawdata!I31,전년
fixed_rawdata,제품1 / 인건비,`25년 실적,2025,실적,7,월계,,33.084154,고정비_Rawdata!J31,전년
fixed_rawdata,제품1 / 인건비,`25년 실적,2025,실적,8,월계,,34.693815,고정비_Rawdata!K31,전년
fixed_rawdata,제품1 / 인건비,`25년 실적,2025,실적,9,월계,,37.173353,고정비_Rawdata!L31,전년
fixed_rawdata,제품1 / 인건비,`25년 실적,2025,실적,10,월계,,36.206176,고정비_Rawdata!M31,전년
fixed_rawdata,제품1 / 인건비,`25년 실적,2025,실적,11,월계,,17.242908,고정비_Rawdata!N31,전년
fixed_rawdata,제품1 / 인건비,`25년 실적,2025,실적,12,월계,,18.643462,고정비_Rawdata!O31,전년
fixed_rawdata,제품1 / 인건비,`26년 목표,2026,목표,1,월계,,31.618519,고정비_Rawdata!Q31,당해
fixed_rawdata,제품1 / 인건비,`26년 목표,2026,목표,2,월계,,53.552917,고정비_Rawdata!R31,당해
fixed_rawdata,제품1 / 인건비,`26년 목표,2026,목표,3,월계,,16.688764,고정비_Rawdata!S31,당해
fixed_rawdata,제품1 / 인건비,`26년 목표,2026,목표,4,월계,,24.126692,고정비_Rawdata!T31,당해
fixed_rawdata,제품1 / 인건비,`26년 목표,2026,목표,5,월계,,21.007382,고정비_Rawdata!U31,당해
fixed_rawdata,제품1 / 인건비,`26년 목표,2026,목표,6,월계,,42.703856,고정비_Rawdata!V31,당해
fixed_rawdata,제품1 / 인건비,`26년 목표,2026,목표,7,월계,,17.328253,고정비_Rawdata!W31,당해
fixed_rawdata,제품1 / 인건비,`26년 목표,2026,목표,8,월계,,59.73971,고정비_Rawdata!X31,당해
fixed_rawdata,제품1 / 인건비,`26년 목표,2026,목표,9,월계,,33.084154,고정비_Rawdata!Y31,당해
fixed_rawdata,제품1 / 인건비,`26년 목표,2026,목표,10,월계,,21.007382,고정비_Rawdata!Z31,당해
fixed_rawdata,제품1 / 인건비,`26년 목표,2026,목표,11,월계,,36.206176,고정비_Rawdata!AA31,당해
fixed_rawdata,제품1 / 인건비,`26년 목표,2026,목표,12,월계,,16.215853,고정비_Rawdata!AB31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,1,월계,,195.887684,고정비_Rawdata!AD31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,1,주차,W1,310.190738,고정비_Rawdata!AE31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,1,주차,W2,174.682909,고정비_Rawdata!AF31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,1,주차,W3,310.190738,고정비_Rawdata!AG31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,1,주차,W4,174.682909,고정비_Rawdata!AH31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,1,주차,W5,310.190738,고정비_Rawdata!AI31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,2,월계,,444.597048,고정비_Rawdata!AJ31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,2,주차,W6,230.598421,고정비_Rawdata!AK31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,2,주차,W7,230.598421,고정비_Rawdata!AL31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,2,주차,W8,230.598421,고정비_Rawdata!AM31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,2,주차,W9,230.598421,고정비_Rawdata!AN31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,3,월계,,134.444105,고정비_Rawdata!AO31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,3,주차,W10,451.657967,고정비_Rawdata!AP31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,3,주차,W11,451.657967,고정비_Rawdata!AQ31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,3,주차,W12,451.657967,고정비_Rawdata!AR31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,3,주차,W13,451.657967,고정비_Rawdata!AS31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,3,주차,W14,451.657967,고정비_Rawdata!AT31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,4,월계,,231.459523,고정비_Rawdata!AU31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,4,주차,W14,271.870302,고정비_Rawdata!AV31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,4,주차,W15,271.870302,고정비_Rawdata!AW31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,4,주차,W16,194.456725,고정비_Rawdata!AX31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,4,주차,W17,271.870302,고정비_Rawdata!AY31,당해
fixed_rawdata,제품1 / 인건비,`26년 실적,2026,실적,4,주차,W18,194.456725,고정비_Rawdata!AZ31,당해
fixed_rawdata,제품1 / 물류비,`25년 실적,2025,실적,1,월계,,18.643462,고정비_Rawdata!D32,전년
fixed_rawdata,제품1 / 물류비,`25년 실적,2025,실적,2,월계,,33.084154,고정비_Rawdata!E32,전년
fixed_rawdata,제품1 / 물류비,`25년 실적,2025,실적,3,월계,,35.296292,고정비_Rawdata!F32,전년
fixed_rawdata,제품1 / 물류비,`25년 실적,2025,실적,4,월계,,18.643462,고정비_Rawdata!G32,전년
fixed_rawdata,제품1 / 물류비,`25년 실적,2025,실적,5,월계,,31.618519,고정비_Rawdata!H32,전년
fixed_rawdata,제품1 / 물류비,`25년 실적,2025,실적,6,월계,,32.499095,고정비_Rawdata!I32,전년
fixed_rawdata,제품1 / 물류비,`25년 실적,2025,실적,7,월계,,53.552917,고정비_Rawdata!J32,전년
fixed_rawdata,제품1 / 물류비,`25년 실적,2025,실적,8,월계,,21.007382,고정비_Rawdata!K32,전년
fixed_rawdata,제품1 / 물류비,`25년 실적,2025,실적,9,월계,,11.908059,고정비_Rawdata!L32,전년
fixed_rawdata,제품1 / 물류비,`25년 실적,2025,실적,10,월계,,39.526994,고정비_Rawdata!M32,전년
fixed_rawdata,제품1 / 물류비,`25년 실적,2025,실적,11,월계,,19.366313,고정비_Rawdata!N32,전년
fixed_rawdata,제품1 / 물류비,`25년 실적,2025,실적,12,월계,,9.25542,고정비_Rawdata!O32,전년
fixed_rawdata,제품1 / 물류비,`26년 목표,2026,목표,1,월계,,21.007382,고정비_Rawdata!Q32,당해
fixed_rawdata,제품1 / 물류비,`26년 목표,2026,목표,2,월계,,28.31935,고정비_Rawdata!R32,당해
fixed_rawdata,제품1 / 물류비,`26년 목표,2026,목표,3,월계,,37.737699,고정비_Rawdata!S32,당해
fixed_rawdata,제품1 / 물류비,`26년 목표,2026,목표,4,월계,,28.31935,고정비_Rawdata!T32,당해
fixed_rawdata,제품1 / 물류비,`26년 목표,2026,목표,5,월계,,73.146286,고정비_Rawdata!U32,당해
fixed_rawdata,제품1 / 물류비,`26년 목표,2026,목표,6,월계,,9.25542,고정비_Rawdata!V32,당해
fixed_rawdata,제품1 / 물류비,`26년 목표,2026,목표,7,월계,,17.242908,고정비_Rawdata!W32,당해
fixed_rawdata,제품1 / 물류비,`26년 목표,2026,목표,8,월계,,37.194064,고정비_Rawdata!X32,당해
fixed_rawdata,제품1 / 물류비,`26년 목표,2026,목표,9,월계,,34.693815,고정비_Rawdata!Y32,당해
fixed_rawdata,제품1 / 물류비,`26년 목표,2026,목표,10,월계,,27.693252,고정비_Rawdata!Z32,당해
fixed_rawdata,제품1 / 물류비,`26년 목표,2026,목표,11,월계,,34.5171,고정비_Rawdata!AA32,당해
fixed_rawdata,제품1 / 물류비,`26년 목표,2026,목표,12,월계,,21.007382,고정비_Rawdata!AB32,당해
fixed_rawdata,제품1 / 물류비,`26년 실적,2026,실적,1,월계,,6.811171,고정비_Rawdata!AD32,당해
fixed_rawdata,제품1 / 물류비,`26년 실적,2026,실적,1,주차,W1,21.12452,고정비_Rawdata!AE32,당해
fixed_rawdata,제품1 / 물류비,`26년 실적,2026,실적,1,주차,W2,21.12452,고정비_Rawdata!AF32,당해
fixed_rawdata,제품1 / 물류비,`26년 실적,2026,실적,1,주차,W3,21.12452,고정비_Rawdata!AG32,당해
fixed_rawdata,제품1 / 물류비,`26년 실적,2026,실적,1,주차,W4,21.12452,고정비_Rawdata!AH32,당해
fixed_rawdata,제품1 / 물류비,`26년 실적,2026,실적,1,주차,W5,21.12452,고정비_Rawdata!AI32,당해
fixed_rawdata,제품1 / 물류비,`26년 실적,2026,실적,2,월계,,29.399474,고정비_Rawdata!AJ32,당해
