항목,부서경로,데이터종류,연도,종류,월,구분,주차,값,원본셀,연도구분
fixed_uncontrol,제품1 / 국내 / 자체 / 고정비,`25년 실적,2025,실적,1,월계,,131.505934,고정비_UnControl!G78,전년
fixed_uncontrol,제품1 / 국내 / 자체 / 고정비,`25년 실적,2025,실적,2,월계,,129.118399,고정비_UnControl!H78,전년
fixed_uncontrol,제품1 / 국내 / 자체 / 고정비,`25년 실적,2025,실적,3,월계,,161.134438,고정비_UnControl!I78,전년
fixed_uncontrol,제품1 / 국내 / 자체 / 고정비,`25년 실적,2025,실적,4,월계,,103.772699,고정비_UnControl!J78,전년
fixed_uncontrol,제품1 / 국내 / 자체 / 고정비,`26년 목표,2026,목표,1,월계,,209.384892,고정비_UnControl!G79,당해
fixed_uncontrol,제품1 / 국내 / 자체 / 고정비,`26년 목표,2026,목표,2,월계,,150.298656,고정비_UnControl!H79,당해
fixed_uncontrol,제품1 / 국내 / 자체 / 고정비,`26년 목표,2026,목표,3,월계,,154.66349,고정비_UnControl!I79,당해
fixed_uncontrol,제품1 / 국내 / 자체 / 고정비,`26년 목표,2026,목표,4,월계,,93.890776,고정비_UnControl!J79,당해
fixed_uncontrol,제품1 / 국내 / 자체 / 고정비,`26년 실적,2026,실적,1,월계,,316.474806,고정비_UnControl!G80,당해
fixed_uncontrol,제품1 / 국내 / 자체 / 고정비,`26년 실적,2026,실적,2,월계,,218.354914,고정비_UnControl!H80,당해
fixed_uncontrol,제품1 / 국내 / 자체 / 고정비,`26년 실적,2026,실적,3,월계,,134.037701,고정비_UnControl!I80,당해
fixed_uncontrol,제품1 / 국내 / 자체 / 고정비,`26년 실적,2026,실적,4,월계,,211.696757,고정비_UnControl!J80,당해
fixed_uncontrol,제품1 / 국내 / 부문1 / 고정비,`25년 실적,2025,실적,1,월계,,51.352569,고정비_UnControl!G83,전년
fixed_uncontrol,제품1 / 국내 / 부문1 / 고정비,`25년 실적,2025,실적,2,월계,,55.797937,고정비_UnControl!H83,전년
fixed_uncontrol,제품1 / 국내 / 부문1 / 고정비,`25년 실적,2025,실적,3,월계,,49.483834,고정비_UnControl!I83,전년
fixed_uncontrol,제품1 / 국내 / 부문1 / 고정비,`25년 실적,2025,실적,4,월계,,86.231621,고정비_UnControl!J83,전년
fixed_uncontrol,제품1 / 국내 / 부문1 / 고정비,`26년 목표,2026,목표,1,월계,,99.404326,고정비_UnControl!G84,당해
fixed_uncontrol,제품1 / 국내 / 부문1 / 고정비,`26년 목표,2026,목표,2,월계,,71.185129,고정비_UnControl!H84,당해
fixed_uncontrol,제품1 / 국내 / 부문1 / 고정비,`26년 목표,2026,목표,3,월계,,60.635294,고정비_UnControl!I84,당해
fixed_uncontrol,제품1 / 국내 / 부문1 / 고정비,`26년 목표,2026,목표,4,월계,,47.818235,고정비_UnControl!J84,당해
