항목,부서경로,데이터종류,연도,종류,월,구분,주차,값,원본셀,연도구분
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,1,월계,,23.09,투자비!F6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,1,주차,W1,23.09,투자비!G6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,1,주차,W2,23.09,투자비!H6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,1,주차,W3,23.09,투자비!I6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,1,주차,W4,23.09,투자비!J6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,1,주차,W5,23.09,투자비!K6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,2,월계,,23.09,투자비!L6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,2,주차,W6,23.09,투자비!M6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,2,주차,W7,23.09,투자비!N6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,2,주차,W8,23.09,투자비!O6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,2,주차,W9,23.09,투자비!P6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,3,월계,,23.09,투자비!Q6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,3,주차,W10,23.09,투자비!R6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,3,주차,W11,23.09,투자비!S6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,3,주차,W12,23.09,투자비!T6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,3,주차,W13,23.09,투자비!U6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,3,주차,W14,23.09,투자비!V6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,4,월계,,23.09,투자비!W6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,4,주차,W14,23.09,투자비!X6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,4,주차,W15,23.09,투자비!Y6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,4,주차,W16,23.09,투자비!Z6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,4,주차,W17,23.09,투자비!AA6,당해
investment,투자비 (설비) / 제품1 / Base,목표,2026,목표,4,주차,W18,23.09,투자비!AB6,당해
