항목,부서경로,데이터종류,연도,종류,월,구분,주차,값,원본셀,연도구분
logistics_cost,합계 / 매출,`25 실적,2025,실적,1,월계,,990.873064,물류비!E6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,1,주차,W1,990.873064,물류비!F6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,1,주차,W2,990.873064,물류비!G6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,1,주차,W3,990.873064,물류비!H6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,1,주차,W4,990.873064,물류비!I6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,1,주차,W5,990.873064,물류비!J6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,2,월계,,469.300863,물류비!K6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,2,주차,W6,469.300863,물류비!L6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,2,주차,W7,469.300863,물류비!M6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,2,주차,W8,469.300863,물류비!N6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,2,주차,W9,469.300863,물류비!O6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,3,월계,,884.124913,물류비!P6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,3,주차,W10,884.124913,물류비!Q6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,3,주차,W11,884.124913,물류비!R6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,3,주차,W12,884.124913,물류비!S6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,3,주차,W13,884.124913,물류비!T6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,3,주차,W14,884.124913,물류비!U6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,4,월계,,428.986293,물류비!V6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,4,주차,W14,428.986293,물류비!W6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,4,주차,W15,428.986293,물류비!X6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,4,주차,W16,428.986293,물류비!Y6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,4,주차,W17,428.986293,물류비!Z6,전년
logistics_cost,합계 / 매출,`25 실적,2025,실적,4,주차,W18,428.986293,물류비!AA6,전년
logistics_cost,합계 / 매출,`26 목표,2026,목표,1,월계,,799.290981,물류비!E7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,1,주차,W1,799.290981,물류비!F7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,1,주차,W2,799.290981,물류비!G7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,1,주차,W3,799.290981,물류비!H7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,1,주차,W4,799.290981,물류비!I7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,1,주차,W5,799.290981,물류비!J7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,2,월계,,672.186774,물류비!K7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,2,주차,W6,672.186774,물류비!L7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,2,주차,W7,672.186774,물류비!M7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,2,주차,W8,672.186774,물류비!N7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,2,주차,W9,672.186774,물류비!O7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,3,월계,,1045.440846,물류비!P7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,3,주차,W10,1045.440846,물류비!Q7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,3,주차,W11,1045.440846,물류비!R7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,3,주차,W12,1045.440846,물류비!S7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,3,주차,W13,1045.440846,물류비!T7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,3,주차,W14,1045.440846,물류비!U7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,4,월계,,1205.075095,물류비!V7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,4,주차,W14,1205.075095,물류비!W7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,4,주차,W15,1205.075095,물류비!X7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,4,주차,W16,1205.075095,물류비!Y7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,4,주차,W17,1205.075095,물류비!Z7,당해
logistics_cost,합계 / 매출,`26 목표,2026,목표,4,주차,W18,1205.075095,물류비!AA7,당해
logistics_cost,합계 / 매출,`26 실적,2026,실적,1,월계,,1074.063274,물류비!E8,당해
logistics_cost,합계 / 매출,`26 실적,2026,실적,1,주차,W1,805.171968,물류비!F8,당해
logistics_cost,합계 / 매출,`26 실적,2026,실적,1,주차,W2,805.171968,물류비!G8,당해
logistics_cost,합계 / 매출,`26 실적,2026,실적,1,주차,W3,805.171968,물류비!H8,당해
logistics_cost,합계 / 매출,`26 실적,2026,실적,1,주차,W4,805.171968,물류비!I8,당해
logistics_cost,합계 / 매출,`26 실적,2026,실적,1,주차,W5,805.171968,물류비!J8,당해
