항목,부서경로,데이터종류,연도,종류,월,구분,주차,값,원본셀,연도구분
material_cost,RMC / 키친솔루션,목표,2026,목표,3,주차,W10,6565.637763,재료비!S4,당해
material_cost,RMC / 키친솔루션,목표,2026,목표,3,주차,W11,6565.637763,재료비!T4,당해
material_cost,RMC / 키친솔루션,목표,2026,목표,3,주차,W12,6565.637763,재료비!U4,당해
material_cost,RMC / 키친솔루션,목표,2026,목표,3,주차,W13,6565.637763,재료비!V4,당해
material_cost,RMC / 키친솔루션,목표,2026,목표,3,주차,W14,6565.637763,재료비!W4,당해
material_cost,RMC / 제품1,목표,2026,목표,1,월계,,8271.360114,재료비!G6,당해
material_cost,RMC / 제품1,목표,2026,목표,1,주차,W1,8271.360114,재료비!H6,당해
material_cost,RMC / 제품1,목표,2026,목표,1,주차,W2,8271.360114,재료비!I6,당해
material_cost,RMC / 제품1,목표,2026,목표,1,주차,W3,8271.360114,재료비!J6,당해
material_cost,RMC / 제품1,목표,2026,목표,1,주차,W4,8271.360114,재료비!K6,당해
material_cost,RMC / 제품1,목표,2026,목표,1,주차,W5,8271.360114,재료비!L6,당해
material_cost,RMC / 제품1,목표,2026,목표,2,월계,,4756.59125,재료비!M6,당해
material_cost,RMC / 제품1,목표,2026,목표,2,주차,W6,4756.59125,재료비!N6,당해
material_cost,RMC / 제품1,목표,2026,목표,2,주차,W7,4756.59125,재료비!O6,당해
material_cost,RMC / 제품1,목표,2026,목표,2,주차,W8,4756.59125,재료비!P6,당해
material_cost,RMC / 제품1,목표,2026,목표,2,주차,W9,4756.59125,재료비!Q6,당해
material_cost,RMC / 제품1,목표,2026,목표,3,월계,,3783.308519,재료비!R6,당해
material_cost,RMC / 제품1,목표,2026,목표,3,주차,W10,3783.308519,재료비!S6,당해
material_cost,RMC / 제품1,목표,2026,목표,3,주차,W11,3783.308519,재료비!T6,당해
material_cost,RMC / 제품1,목표,2026,목표,3,주차,W12,3783.308519,재료비!U6,당해
material_cost,RMC / 제품1,목표,2026,목표,3,주차,W13,3783.308519,재료비!V6,당해
material_cost,RMC / 제품1,목표,2026,목표,3,주차,W14,3783.308519,재료비!W6,당해
material_cost,RMC / 제품1,목표,2026,목표,4,월계,,6751.04141,재료비!X6,당해
material_cost,RMC / 제품1,목표,2026,목표,4,주차,W14,6751.04141,재료비!Y6,당해
material_cost,RMC / 제품1,목표,2026,목표,4,주차,W15,6751.04141,재료비!Z6,당해
material_cost,RMC / 제품1,목표,2026,목표,4,주차,W16,6751.04141,재료비!AA6,당해
material_cost,RMC / 제품1,목표,2026,목표,4,주차,W17,6751.04141,재료비!AB6,당해
material_cost,RMC / 제품1,목표,2026,목표,4,주차,W18,6751.04141,재료비!AC6,당해
material_cost,RMC / 제품1,실적,2026,실적,1,월계,,7757.917383,재료비!G7,당해
material_cost,RMC / 제품1,실적,2026,실적,1,주차,W1,4144.750039,재료비!H7,당해
material_cost,RMC / 제품1,실적,2026,실적,1,주차,W2,4144.750039,재료비!I7,당해
material_cost,RMC / 제품1,실적,2026,실적,1,주차,W3,4359.091395,재료비!J7,당해
material_cost,RMC / 제품1,실적,2026,실적,1,주차,W4,4359.091395,재료비!K7,당해
material_cost,RMC / 제품1,실적,2026,실적,1,주차,W5,4144.750039,재료비!L7,당해
material_cost,RMC / 제품1,실적,2026,실적,2,월계,,6377.869036,재료비!M7,당해
material_cost,RMC / 제품1,실적,2026,실적,2,주차,W6,6084.204,재료비!N7,당해
material_cost,RMC / 제품1,실적,2026,실적,2,주차,W7,3742.10525,재료비!O7,당해
material_cost,RMC / 제품1,실적,2026,실적,2,주차,W8,3992.697,재료비!P7,당해
material_cost,RMC / 제품1,실적,2026,실적,2,주차,W9,2976.178914,재료비!Q7,당해
material_cost,RMC / 제품1,실적,2026,실적,3,월계,,5624.352135,재료비!R7,당해
material_cost,RMC / 제품1,실적,2026,실적,3,주차,W10,5000.791164,재료비!S7,당해
material_cost,RMC / 제품1,실적,2026,실적,3,주차,W11,4959.612547,재료비!T7,당해
material_cost,RMC / 제품1,실적,2026,실적,3,주차,W12,3090.048691,재료비!U7,당해
material_cost,RMC / 제품1,실적,2026,실적,3,주차,W13,3623.1,재료비!V7,당해
material_cost,RMC / 제품1,실적,2026,실적,3,주차,W14,3623.1,재료비!W7,당해
material_cost,RMC / 제품1,실적,2026,실적,4,월계,,3311.237069,재료비!X7,당해
material_cost,RMC / 제품1,실적,2026,실적,4,주차,W14,3501.831731,재료비!Y7,당해
material_cost,RMC / 제품1,실적,2026,실적,4,주차,W15,5852.030908,재료비!Z7,당해
material_cost,RMC / 제품1,실적,2026,실적,4,주차,W16,5852.030908,재료비!AA7,당해
material_cost,RMC / 제품1,실적,2026,실적,4,주차,W17,6465.281155,재료비!AB7,당해
material_cost,RMC / 제품1,실적,2026,실적,4,주차,W18,5852.030908,재료비!AC7,당해
material_cost,RMC / 제품2,목표,2026,목표,1,월계,,171.849193,재료비!G8,당해
material_cost,RMC / 제품2,목표,2026,목표,1,주차,W1,171.849193,재료비!H8,당해
material_cost,RMC / 제품2,목표,2026,목표,1,주차,W2,171.849193,재료비!I8,당해
material_cost,RMC / 제품2,목표,2026,목표,1,주차,W3,171.849193,재료비!J8,당해
material_cost,RMC / 제품2,목표,2026,목표,1,주차,W4,171.849193,재료비!K8,당해
material_cost,RMC / 제품2,목표,2026,목표,1,주차,W5,171.849193,재료비!L8,당해
material_cost,RMC / 제품2,목표,2026,목표,2,월계,,301.54407,재료비!M8,당해
material_cost,RMC / 제품2,목표,2026,목표,2,주차,W6,301.54407,재료비!N8,당해
material_cost,RMC / 제품2,목표,2026,목표,2,주차,W7,301.54407,재료비!O8,당해
material_cost,RMC / 제품2,목표,2026,목표,2,주차,W8,301.54407,재료비!P8,당해
material_cost,RMC / 제품2,목표,2026,목표,2,주차,W9,301.54407,재료비!Q8,당해
material_cost,RMC / 제품2,목표,2026,목표,3,월계,,231.901097,재료비!R8,당해
material_cost,RMC / 제품2,목표,2026,목표,3,주차,W10,231.901097,재료비!S8,당해
material_cost,RMC / 제품2,목표,2026,목표,3,주차,W11,231.901097,재료비!T8,당해
material_cost,RMC / 제품2,목표,2026,목표,3,주차,W12,231.901097,재료비!U8,당해
material_cost,RMC / 제품2,목표,2026,목표,3,주차,W13,231.901097,재료비!V8,당해
material_cost,RMC / 제품2,목표,2026,목표,3,주차,W14,231.901097,재료비!W8,당해
material_cost,RMC / 제품2,목표,2026,목표,4,월계,,172.033116,재료비!X8,당해
material_cost,RMC / 제품2,목표,2026,목표,4,주차,W14,172.033116,재료비!Y8,당해
material_cost,RMC / 제품2,목표,2026,목표,4,주차,W15,172.033116,재료비!Z8,당해
material_cost,RMC / 제품2,목표,2026,목표,4,주차,W16,172.033116,재료비!AA8,당해
material_cost,RMC / 제품2,목표,2026,목표,4,주차,W17,172.033116,재료비!AB8,당해
material_cost,RMC / 제품2,목표,2026,목표,4,주차,W18,172.033116,재료비!AC8,당해
material_cost,RMC / 제품2,실적,2026,실적,1,월계,,286.09105,재료비!G9,당해
material_cost,RMC / 제품2,실적,2026,실적,1,주차,W1,231.574634,재료비!H9,당해
material_cost,RMC / 제품2,실적,2026,실적,1,주차,W2,231.574634,재료비!I9,당해
material_cost,RMC / 제품2,실적,2026,실적,1,주차,W3,225.01377,재료비!J9,당해
material_cost,RMC / 제품2,실적,2026,실적,1,주차,W4,225.01377,재료비!K9,당해
material_cost,RMC / 제품2,실적,2026,실적,1,주차,W5,231.574634,재료비!L9,당해
material_cost,RMC / 제품2,실적,2026,실적,2,월계,,228.675942,재료비!M9,당해
material_cost,RMC / 제품2,실적,2026,실적,2,주차,W6,389.235,재료비!N9,당해
material_cost,RMC / 제품2,실적,2026,실적,2,주차,W7,293.848274,재료비!O9,당해
material_cost,RMC / 제품2,실적,2026,실적,2,주차,W8,135.781,재료비!P9,당해
material_cost,RMC / 제품2,실적,2026,실적,2,주차,W9,228.383254,재료비!Q9,당해
material_cost,RMC / 제품2,실적,2026,실적,3,월계,,262.500837,재료비!R9,당해
material_cost,RMC / 제품2,실적,2026,실적,3,주차,W10,300.051849,재료비!S9,당해
material_cost,RMC / 제품2,실적,2026,실적,3,주차,W11,337.665006,재료비!T9,당해
material_cost,RMC / 제품2,실적,2026,실적,3,주차,W12,240.233274,재료비!U9,당해
material_cost,RMC / 제품2,실적,2026,실적,3,주차,W13,364.217,재료비!V9,당해
material_cost,RMC / 제품2,실적,2026,실적,3,주차,W14,344.264313,재료비!W9,당해
material_cost,RMC / 제품2,실적,2026,실적,4,월계,,277.228329,재료비!X9,당해
material_cost,RMC / 제품2,실적,2026,실적,4,주차,W14,237.658867,재료비!Y9,당해
material_cost,RMC / 제품2,실적,2026,실적,4,주차,W15,373.829587,재료비!Z9,당해
material_cost,RMC / 제품2,실적,2026,실적,4,주차,W16,373.829587,재료비!AA9,당해
material_cost,RMC / 제품2,실적,2026,실적,4,주차,W17,460.538769,재료비!AB9,당해
material_cost,RMC / 제품2,실적,2026,실적,4,주차,W18,373.829587,재료비!AC9,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,1,월계,,537.724093,재료비!G28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,1,주차,W1,537.724093,재료비!H28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,1,주차,W2,537.724093,재료비!I28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,1,주차,W3,537.724093,재료비!J28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,1,주차,W4,537.724093,재료비!K28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,1,주차,W5,537.724093,재료비!L28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,2,월계,,431.948859,재료비!M28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,2,주차,W6,431.948859,재료비!N28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,2,주차,W7,431.948859,재료비!O28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,2,주차,W8,431.948859,재료비!P28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,2,주차,W9,431.948859,재료비!Q28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,3,월계,,455.074518,재료비!R28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,3,주차,W10,455.074518,재료비!S28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,3,주차,W11,455.074518,재료비!T28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,3,주차,W12,455.074518,재료비!U28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,3,주차,W13,455.074518,재료비!V28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,3,주차,W14,455.074518,재료비!W28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,4,월계,,757.732961,재료비!X28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,4,주차,W14,757.732961,재료비!Y28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,4,주차,W15,757.732961,재료비!Z28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,4,주차,W16,757.732961,재료비!AA28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,4,주차,W17,757.732961,재료비!AB28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,목표,2026,목표,4,주차,W18,757.732961,재료비!AC28,당해
material_cost,시스템 반영 / 제품1 / VI 금액,실적,2026,실적,1,월계,,312.524286,재료비!G29,당해
material_cost,시스템 반영 / 제품1 / VI 금액,실적,2026,실적,1,주차,W1,607.142168,재료비!H29,당해
material_cost,시스템 반영 / 제품1 / VI 금액,실적,2026,실적,1,주차,W2,607.142168,재료비!I29,당해
material_cost,시스템 반영 / 제품1 / VI 금액,실적,2026,실적,1,주차,W3,304.136853,재료비!J29,당해
material_cost,시스템 반영 / 제품1 / VI 금액,실적,2026,실적,1,주차,W4,304.136853,재료비!K29,당해
