항목,부서경로,데이터종류,연도,종류,월,구분,주차,값,원본셀,연도구분
quality,제품1 / 실패비용,`25 실적,2025,실적,1,월계,,277.344751,품질!E20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,1,주차,W1,277.344751,품질!F20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,1,주차,W2,277.344751,품질!G20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,1,주차,W3,277.344751,품질!H20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,1,주차,W4,277.344751,품질!I20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,1,주차,W5,277.344751,품질!J20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,2,월계,,98.494181,품질!K20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,2,주차,W6,98.494181,품질!L20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,2,주차,W7,98.494181,품질!M20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,2,주차,W8,98.494181,품질!N20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,2,주차,W9,98.494181,품질!O20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,3,월계,,105.490116,품질!P20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,3,주차,W10,105.490116,품질!Q20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,3,주차,W11,105.490116,품질!R20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,3,주차,W12,105.490116,품질!S20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,3,주차,W13,105.490116,품질!T20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,3,주차,W14,105.490116,품질!U20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,4,월계,,174.367149,품질!V20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,4,주차,W14,174.367149,품질!W20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,4,주차,W15,174.367149,품질!X20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,4,주차,W16,174.367149,품질!Y20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,4,주차,W17,174.367149,품질!Z20,전년
quality,제품1 / 실패비용,`25 실적,2025,실적,4,주차,W18,174.367149,품질!AA20,전년
quality,제품1 / 실패비용,`26 목표,2026,목표,1,월계,,228.088062,품질!E21,당해
quality,제품1 / 실패비용,`26 목표,2026,목표,1,주차,W1,228.088062,품질!F21,당해
quality,제품1 / 실패비용,`26 목표,2026,목표,1,주차,W2,228.088062,품질!G21,당해
quality,제품1 / 실패비용,`26 목표,2026,목표,1,주차,W3,228.088062,품질!H21,당해
quality,제품1 / 실패비용,`26 목표,2026,목표,1,주차,W4,228.088062,품질!I21,당해
quality,제품1 / 실패비용,`26 목표,2026,목표,1,주차,W5,228.088062,품질!J21,당해
quality,제품1 / 실패비용,`26 목표,2026,목표,2,월계,,245.345333,품질!K21,당해
quality,제품1 / 실패비용,`26 목표,2026,목표,2,주차,W6,245.345333,품질!L21,당해
quality,제품1 / 실패비용,`26 목표,2026,목표,2,주차,W7,245.345333,품질!M21,당해
