항목,부서경로,데이터종류,연도,종류,월,구분,주차,값,원본셀,연도구분
sales_region2,키친솔루션 / 재무지표 / 총매출,목표,2026,목표,1,월계,,6098.10367,매출_지역2!F3,당해
sales_region2,키친솔루션 / 재무지표 / 총매출,목표,2026,목표,2,월계,,6013.070477,매출_지역2!G3,당해
sales_region2,키친솔루션 / 재무지표 / 총매출,목표,2026,목표,3,월계,,5483.490699,매출_지역2!H3,당해
sales_region2,키친솔루션 / 재무지표 / 총매출,목표,2026,목표,4,월계,,3651.672782,매출_지역2!I3,당해
sales_region2,키친솔루션 / 재무지표 / 순매출,목표,2026,목표,1,월계,,5965.376734,매출_지역2!F4,당해
sales_region2,키친솔루션 / 재무지표 / 순매출,목표,2026,목표,2,월계,,4504.1525,매출_지역2!G4,당해
sales_region2,키친솔루션 / 재무지표 / 순매출,목표,2026,목표,3,월계,,2137.844982,매출_지역2!H4,당해
sales_region2,키친솔루션 / 재무지표 / 순매출,목표,2026,목표,4,월계,,3301.521496,매출_지역2!I4,당해
sales_region2,키친솔루션 / 재무지표 / 한계이익,목표,2026,목표,1,월계,,1671.149553,매출_지역2!F7,당해
sales_region2,키친솔루션 / 재무지표 / 한계이익,목표,2026,목표,2,월계,,1392.438729,매출_지역2!G7,당해
sales_region2,키친솔루션 / 재무지표 / 한계이익,목표,2026,목표,3,월계,,2074.257805,매출_지역2!H7,당해
sales_region2,키친솔루션 / 재무지표 / 한계이익,목표,2026,목표,4,월계,,1910.478058,매출_지역2!I7,당해
sales_region2,키친솔루션 / 재무지표 / 총매출,실적,2026,실적,1,월계,,4330.226344,매출_지역2!F9,당해
sales_region2,키친솔루션 / 재무지표 / 총매출,실적,2026,실적,2,월계,,4162.834602,매출_지역2!G9,당해
sales_region2,키친솔루션 / 재무지표 / 총매출,실적,2026,실적,3,월계,,2207.046646,매출_지역2!H9,당해
sales_region2,키친솔루션 / 재무지표 / 총매출,실적,2026,실적,4,월계,,2826.269538,매출_지역2!I9,당해
sales_region2,키친솔루션 / 재무지표 / 순매출,실적,2026,실적,1,월계,,3500.502231,매출_지역2!F10,당해
sales_region2,키친솔루션 / 재무지표 / 순매출,실적,2026,실적,2,월계,,1962.633138,매출_지역2!G10,당해
sales_region2,키친솔루션 / 재무지표 / 순매출,실적,2026,실적,3,월계,,4267.989284,매출_지역2!H10,당해
sales_region2,키친솔루션 / 재무지표 / 순매출,실적,2026,실적,4,월계,,2941.002927,매출_지역2!I10,당해
sales_region2,키친솔루션 / 재무지표 / 차감,실적,2026,실적,1,월계,,311.389264,매출_지역2!F11,당해
sales_region2,키친솔루션 / 재무지표 / 차감,실적,2026,실적,2,월계,,263.650072,매출_지역2!G11,당해
sales_region2,키친솔루션 / 재무지표 / 차감,실적,2026,실적,3,월계,,192.95179,매출_지역2!H11,당해
sales_region2,키친솔루션 / 재무지표 / 차감,실적,2026,실적,4,월계,,305.042101,매출_지역2!I11,당해
sales_region2,키친솔루션 / 개선금액 / 매출 확대,목표,2026,목표,1,월계,,269.219341,매출_지역2!F16,당해
sales_region2,키친솔루션 / 개선금액 / 매출 확대,목표,2026,목표,2,월계,,101.549984,매출_지역2!G16,당해
sales_region2,키친솔루션 / 개선금액 / 매출 확대,목표,2026,목표,3,월계,,145.096855,매출_지역2!H16,당해
sales_region2,키친솔루션 / 개선금액 / 매출 확대,목표,2026,목표,4,월계,,268.281975,매출_지역2!I16,당해
sales_region2,키친솔루션 / 개선금액 / Mix 개선,목표,2026,목표,1,월계,,12.747307,매출_지역2!F17,당해
sales_region2,키친솔루션 / 개선금액 / Mix 개선,목표,2026,목표,2,월계,,17.931944,매출_지역2!G17,당해
sales_region2,키친솔루션 / 개선금액 / Mix 개선,목표,2026,목표,3,월계,,26.486452,매출_지역2!H17,당해
sales_region2,키친솔루션 / 개선금액 / Mix 개선,목표,2026,목표,4,월계,,19.5143273,매출_지역2!I17,당해
sales_region2,키친솔루션 / 개선금액 / 판가 개선,목표,2026,목표,1,월계,,-170.393332,매출_지역2!F18,당해
sales_region2,키친솔루션 / 개선금액 / 판가 개선,목표,2026,목표,2,월계,,-133.313584,매출_지역2!G18,당해
sales_region2,키친솔루션 / 개선금액 / 판가 개선,목표,2026,목표,3,월계,,31.507668,매출_지역2!H18,당해
sales_region2,키친솔루션 / 개선금액 / 판가 개선,목표,2026,목표,4,월계,,-92.972032,매출_지역2!I18,당해
sales_region2,키친솔루션 / 개선금액 / 매출 차감,목표,2026,목표,1,월계,,8.97273648,매출_지역2!F19,당해
sales_region2,키친솔루션 / 개선금액 / 매출 차감,목표,2026,목표,2,월계,,9.064957,매출_지역2!G19,당해
sales_region2,키친솔루션 / 개선금액 / 매출 차감,목표,2026,목표,3,월계,,22.954904,매출_지역2!H19,당해
sales_region2,키친솔루션 / 개선금액 / 매출 차감,목표,2026,목표,4,월계,,13.550306,매출_지역2!I19,당해
sales_region2,키친솔루션 / 개선금액 / 매출 확대,실적,2026,실적,1,월계,,11.1433104,매출_지역2!F21,당해
sales_region2,키친솔루션 / 개선금액 / 매출 확대,실적,2026,실적,2,월계,,-99.66052,매출_지역2!G21,당해
sales_region2,키친솔루션 / 개선금액 / 매출 확대,실적,2026,실적,3,월계,,-6.86477455,매출_지역2!H21,당해
sales_region2,키친솔루션 / 개선금액 / 매출 확대,실적,2026,실적,4,월계,,3.04734984,매출_지역2!I21,당해
sales_region2,키친솔루션 / 개선금액 / Mix 개선,실적,2026,실적,1,월계,,0.59052553,매출_지역2!F22,당해
sales_region2,키친솔루션 / 개선금액 / Mix 개선,실적,2026,실적,2,월계,,1.9366561,매출_지역2!G22,당해
sales_region2,키친솔루션 / 개선금액 / Mix 개선,실적,2026,실적,3,월계,,54.271333,매출_지역2!H22,당해
sales_region2,키친솔루션 / 개선금액 / Mix 개선,실적,2026,실적,4,월계,,25.956428,매출_지역2!I22,당해
sales_region2,키친솔루션 / 개선금액 / 판가 개선,실적,2026,실적,1,월계,,42.430427,매출_지역2!F23,당해
sales_region2,키친솔루션 / 개선금액 / 판가 개선,실적,2026,실적,2,월계,,7.62463513,매출_지역2!G23,당해
sales_region2,키친솔루션 / 개선금액 / 판가 개선,실적,2026,실적,3,월계,,33.838142,매출_지역2!H23,당해
sales_region2,키친솔루션 / 개선금액 / 판가 개선,실적,2026,실적,4,월계,,18.427794,매출_지역2!I23,당해
sales_region2,키친솔루션 / 개선금액 / 매출 차감,실적,2026,실적,1,월계,,29.550913,매출_지역2!F24,당해
sales_region2,키친솔루션 / 개선금액 / 매출 차감,실적,2026,실적,2,월계,,39.744317,매출_지역2!G24,당해
sales_region2,키친솔루션 / 개선금액 / 매출 차감,실적,2026,실적,3,월계,,60.2626,매출_지역2!H24,당해
sales_region2,키친솔루션 / 개선금액 / 매출 차감,실적,2026,실적,4,월계,,-33.102392,매출_지역2!I24,당해
sales_region2,제품1 / 재무지표 / 총매출,목표,2026,목표,1,월계,,2024.489811,매출_지역2!F25,당해
sales_region2,제품1 / 재무지표 / 총매출,목표,2026,목표,2,월계,,2371.626972,매출_지역2!G25,당해
sales_region2,제품1 / 재무지표 / 총매출,목표,2026,목표,3,월계,,2241.718325,매출_지역2!H25,당해
sales_region2,제품1 / 재무지표 / 총매출,목표,2026,목표,4,월계,,3336.546662,매출_지역2!I25,당해
sales_region2,제품1 / 재무지표 / 순매출,목표,2026,목표,1,월계,,3520.135,매출_지역2!F26,당해
sales_region2,제품1 / 재무지표 / 순매출,목표,2026,목표,2,월계,,2854.713,매출_지역2!G26,당해
sales_region2,제품1 / 재무지표 / 순매출,목표,2026,목표,3,월계,,2786.391404,매출_지역2!H26,당해
sales_region2,제품1 / 재무지표 / 순매출,목표,2026,목표,4,월계,,1632.437672,매출_지역2!I26,당해
sales_region2,제품1 / 재무지표 / 한계이익,목표,2026,목표,1,월계,,1336.675892,매출_지역2!F29,당해
sales_region2,제품1 / 재무지표 / 한계이익,목표,2026,목표,2,월계,,635.606408,매출_지역2!G29,당해
sales_region2,제품1 / 재무지표 / 한계이익,목표,2026,목표,3,월계,,931.831572,매출_지역2!H29,당해
sales_region2,제품1 / 재무지표 / 한계이익,목표,2026,목표,4,월계,,976.977029,매출_지역2!I29,당해
sales_region2,제품1 / 재무지표 / 총매출,실적,2026,실적,1,월계,,2545.591713,매출_지역2!F31,당해
sales_region2,제품1 / 재무지표 / 총매출,실적,2026,실적,2,월계,,2184.460523,매출_지역2!G31,당해
sales_region2,제품1 / 재무지표 / 총매출,실적,2026,실적,3,월계,,3807.196916,매출_지역2!H31,당해
sales_region2,제품1 / 재무지표 / 총매출,실적,2026,실적,4,월계,,3755.434535,매출_지역2!I31,당해
sales_region2,제품1 / 재무지표 / 순매출,실적,2026,실적,1,월계,,2635.996586,매출_지역2!F32,당해
sales_region2,제품1 / 재무지표 / 순매출,실적,2026,실적,2,월계,,2041.000942,매출_지역2!G32,당해
sales_region2,제품1 / 재무지표 / 순매출,실적,2026,실적,3,월계,,3541.308628,매출_지역2!H32,당해
sales_region2,제품1 / 재무지표 / 순매출,실적,2026,실적,4,월계,,2949.510331,매출_지역2!I32,당해
sales_region2,제품1 / 재무지표 / 차감,실적,2026,실적,1,월계,,269.279178,매출_지역2!F33,당해
sales_region2,제품1 / 재무지표 / 차감,실적,2026,실적,2,월계,,342.897271,매출_지역2!G33,당해
sales_region2,제품1 / 재무지표 / 차감,실적,2026,실적,3,월계,,422.980535,매출_지역2!H33,당해
sales_region2,제품1 / 재무지표 / 차감,실적,2026,실적,4,월계,,262.366431,매출_지역2!I33,당해
sales_region2,제품1 / 개선금액 / 매출 확대,목표,2026,목표,1,월계,,242.22073,매출_지역2!F38,당해
sales_region2,제품1 / 개선금액 / 매출 확대,목표,2026,목표,2,월계,,59.50332,매출_지역2!G38,당해
sales_region2,제품1 / 개선금액 / 매출 확대,목표,2026,목표,3,월계,,156.756334,매출_지역2!H38,당해
sales_region2,제품1 / 개선금액 / 매출 확대,목표,2026,목표,4,월계,,147.370302,매출_지역2!I38,당해
sales_region2,제품1 / 개선금액 / Mix 개선,목표,2026,목표,1,월계,,3.65310086,매출_지역2!F39,당해
sales_region2,제품1 / 개선금액 / Mix 개선,목표,2026,목표,2,월계,,5.58030034,매출_지역2!G39,당해
sales_region2,제품1 / 개선금액 / Mix 개선,목표,2026,목표,3,월계,,2.95121175,매출_지역2!H39,당해
sales_region2,제품1 / 개선금액 / Mix 개선,목표,2026,목표,4,월계,,7.14451595,매출_지역2!I39,당해
sales_region2,제품1 / 개선금액 / 판가 개선,목표,2026,목표,1,월계,,-170.393332,매출_지역2!F40,당해
sales_region2,제품1 / 개선금액 / 판가 개선,목표,2026,목표,2,월계,,-133.313584,매출_지역2!G40,당해
sales_region2,제품1 / 개선금액 / 판가 개선,목표,2026,목표,3,월계,,31.507668,매출_지역2!H40,당해
sales_region2,제품1 / 개선금액 / 판가 개선,목표,2026,목표,4,월계,,-92.972032,매출_지역2!I40,당해
sales_region2,제품1 / 개선금액 / 매출 차감,목표,2026,목표,1,월계,,5.36450077,매출_지역2!F41,당해
sales_region2,제품1 / 개선금액 / 매출 차감,목표,2026,목표,2,월계,,16.16368702,매출_지역2!G41,당해
sales_region2,제품1 / 개선금액 / 매출 차감,목표,2026,목표,3,월계,,13.05707716,매출_지역2!H41,당해
sales_region2,제품1 / 개선금액 / 매출 차감,목표,2026,목표,4,월계,,16.82377824,매출_지역2!I41,당해
sales_region2,제품1 / 개선금액 / 매출 확대,실적,2026,실적,1,월계,,0.32382566,매출_지역2!F43,당해
sales_region2,제품1 / 개선금액 / 매출 확대,실적,2026,실적,2,월계,,-65.752449,매출_지역2!G43,당해
sales_region2,제품1 / 개선금액 / 매출 확대,실적,2026,실적,3,월계,,-3.0282057,매출_지역2!H43,당해
sales_region2,제품1 / 개선금액 / 매출 확대,실적,2026,실적,4,월계,,16.01747947,매출_지역2!I43,당해
sales_region2,제품1 / 개선금액 / Mix 개선,실적,2026,실적,1,월계,,0.59198194,매출_지역2!F44,당해
sales_region2,제품1 / 개선금액 / Mix 개선,실적,2026,실적,2,월계,,0.95,매출_지역2!G44,당해
sales_region2,제품1 / 개선금액 / Mix 개선,실적,2026,실적,3,월계,,53.74097,매출_지역2!H44,당해
sales_region2,제품1 / 개선금액 / Mix 개선,실적,2026,실적,4,월계,,31.771117,매출_지역2!I44,당해
sales_region2,제품1 / 개선금액 / 판가 개선,실적,2026,실적,1,월계,,42.430427,매출_지역2!F45,당해
sales_region2,제품1 / 개선금액 / 판가 개선,실적,2026,실적,2,월계,,7.62463513,매출_지역2!G45,당해
sales_region2,제품1 / 개선금액 / 판가 개선,실적,2026,실적,3,월계,,33.838142,매출_지역2!H45,당해
sales_region2,제품1 / 개선금액 / 판가 개선,실적,2026,실적,4,월계,,18.427794,매출_지역2!I45,당해
sales_region2,제품1 / 개선금액 / 매출 차감,실적,2026,실적,1,월계,,8.54579464,매출_지역2!F46,당해
sales_region2,제품1 / 개선금액 / 매출 차감,실적,2026,실적,2,월계,,14.44405,매출_지역2!G46,당해
sales_region2,제품1 / 개선금액 / 매출 차감,실적,2026,실적,3,월계,,41.865182,매출_지역2!H46,당해
sales_region2,제품1 / 개선금액 / 매출 차감,실적,2026,실적,4,월계,,-90.748139,매출_지역2!I46,당해
sales_region2,제품2 / 재무지표 / 총매출,목표,2026,목표,1,월계,,691.606812,매출_지역2!F47,당해
sales_region2,제품2 / 재무지표 / 총매출,목표,2026,목표,2,월계,,954.572113,매출_지역2!G47,당해
sales_region2,제품2 / 재무지표 / 총매출,목표,2026,목표,3,월계,,1179.816877,매출_지역2!H47,당해
sales_region2,제품2 / 재무지표 / 총매출,목표,2026,목표,4,월계,,1885.598759,매출_지역2!I47,당해
sales_region2,제품2 / 재무지표 / 순매출,목표,2026,목표,1,월계,,868.933906,매출_지역2!F48,당해
sales_region2,제품2 / 재무지표 / 순매출,목표,2026,목표,2,월계,,582.152497,매출_지역2!G48,당해
sales_region2,제품2 / 재무지표 / 순매출,목표,2026,목표,3,월계,,1090.316116,매출_지역2!H48,당해
sales_region2,제품2 / 재무지표 / 순매출,목표,2026,목표,4,월계,,1506.495732,매출_지역2!I48,당해
sales_region2,제품2 / 재무지표 / 한계이익,목표,2026,목표,1,월계,,548.770409,매출_지역2!F51,당해
sales_region2,제품2 / 재무지표 / 한계이익,목표,2026,목표,2,월계,,550.880303,매출_지역2!G51,당해
sales_region2,제품2 / 재무지표 / 한계이익,목표,2026,목표,3,월계,,374.866417,매출_지역2!H51,당해
sales_region2,제품2 / 재무지표 / 한계이익,목표,2026,목표,4,월계,,269.574142,매출_지역2!I51,당해
sales_region2,제품2 / 재무지표 / 총매출,실적,2026,실적,1,월계,,1501.085415,매출_지역2!F53,당해
sales_region2,제품2 / 재무지표 / 총매출,실적,2026,실적,2,월계,,723.00971,매출_지역2!G53,당해
