항목,종류,월,구분,주차,값
material_cost,목표,1,월계,,649.6746543900001
material_cost,목표,1,주차,W1,649.6746543900001
material_cost,목표,1,주차,W2,649.6746543900001
material_cost,목표,1,주차,W3,649.6746543900001
material_cost,목표,1,주차,W4,649.6746543900001
material_cost,목표,1,주차,W5,649.6746543900001
material_cost,목표,2,월계,,626.13855406
material_cost,목표,2,주차,W6,621.9500299900001
material_cost,목표,2,주차,W7,621.9500299900001
material_cost,목표,2,주차,W8,621.9500299900001
material_cost,목표,2,주차,W9,621.9500299900001
material_cost,목표,3,월계,,635.1120816499999
material_cost,목표,3,주차,W10,669.963295
material_cost,목표,3,주차,W11,637.14805059
material_cost,목표,3,주차,W12,637.14805059
material_cost,목표,3,주차,W13,637.14805059
material_cost,목표,3,주차,W14,637.14805059
material_cost,목표,4,월계,,1128.6322806800001
material_cost,목표,4,주차,W14,1128.6322806800001
material_cost,목표,4,주차,W15,1128.6322806800001
material_cost,목표,4,주차,W16,1128.6322806800001
material_cost,목표,4,주차,W17,1128.6322806800001
material_cost,목표,4,주차,W18,1128.6322806800001
material_cost,목표,5,월계,,0.0
material_cost,목표,5,주차,W18,0.0
material_cost,목표,5,주차,W19,0.0
material_cost,목표,5,주차,W20,0.0
material_cost,목표,5,주차,W21,0.0
material_cost,목표,5,주차,W22,0.0
material_cost,목표,5,주차,W23,0.0
material_cost,목표,6,월계,,0.0
material_cost,목표,6,주차,W23,0.0
material_cost,목표,6,주차,W24,0.0
material_cost,목표,6,주차,W25,0.0
material_cost,목표,6,주차,W26,0.0
material_cost,목표,6,주차,W27,0.0
material_cost,목표,7,월계,,0.0
material_cost,목표,7,주차,W27,0.0
material_cost,목표,7,주차,W28,0.0
material_cost,목표,7,주차,W29,0.0
material_cost,목표,7,주차,W30,0.0
material_cost,목표,7,주차,W31,0.0
material_cost,목표,8,월계,,0.0
material_cost,목표,8,주차,W31,0.0
material_cost,목표,8,주차,W32,0.0
material_cost,목표,8,주차,W33,0.0
material_cost,목표,8,주차,W34,0.0
material_cost,목표,8,주차,W35,0.0
material_cost,목표,8,주차,W36,0.0
material_cost,목표,9,월계,,0.0
material_cost,목표,9,주차,W36,0.0
material_cost,목표,9,주차,W37,0.0
material_cost,목표,9,주차,W38,0.0
material_cost,목표,9,주차,W39,0.0
material_cost,목표,9,주차,W40,0.0
material_cost,목표,10,월계,,0.0
material_cost,목표,10,주차,W40,0.0
material_cost,목표,10,주차,W41,0.0
material_cost,목표,10,주차,W42,0.0
material_cost,목표,10,주차,W43,0.0
material_cost,목표,10,주차,W44,0.0
material_cost,목표,11,월계,,0.0
material_cost,목표,11,주차,W45,0.0
material_cost,목표,11,주차,W46,0.0
material_cost,목표,11,주차,W47,0.0
material_cost,목표,11,주차,W48,0.0
material_cost,목표,11,주차,W49,0.0
material_cost,목표,12,월계,,0.0
material_cost,목표,12,주차,W49,0.0
material_cost,목표,12,주차,W50,0.0
material_cost,목표,12,주차,W51,0.0
material_cost,목표,12,주차,W52,0.0
material_cost,목표,12,주차,W53,0.0
material_cost,실적,1,월계,,583.98647982
material_cost,실적,1,주차,W1,717.49947169
material_cost,실적,1,주차,W2,716.86728738
material_cost,실적,1,주차,W3,410.42234418
material_cost,실적,1,주차,W4,410.63542552999996
material_cost,실적,1,주차,W5,716.66983408
material_cost,실적,2,월계,,590.50060595
material_cost,실적,2,주차,W6,665.8908767
material_cost,실적,2,주차,W7,830.4882339200001
material_cost,실적,2,주차,W8,661.4243757300001
material_cost,실적,2,주차,W9,611.9421203
material_cost,실적,3,월계,,854.1369521199999
material_cost,실적,3,주차,W10,918.35870106
material_cost,실적,3,주차,W11,592.7085324300001
material_cost,실적,3,주차,W12,971.23310117
material_cost,실적,3,주차,W13,655.00839348
material_cost,실적,3,주차,W14,463.63646987000004
material_cost,실적,4,월계,,717.11915192
material_cost,실적,4,주차,W14,517.60865729
material_cost,실적,4,주차,W15,508.76545791
material_cost,실적,4,주차,W16,508.76545791
material_cost,실적,4,주차,W17,661.4122771099999
material_cost,실적,4,주차,W18,508.76545791
material_cost,실적,5,주차,W18,0.0
material_cost,실적,5,주차,W19,0.0
material_cost,실적,5,주차,W20,0.0
material_cost,실적,5,주차,W21,0.0
material_cost,실적,5,주차,W22,0.0
material_cost,실적,5,주차,W23,0.0
material_cost,실적,6,주차,W23,0.0
material_cost,실적,6,주차,W24,0.0
material_cost,실적,6,주차,W25,0.0
material_cost,실적,6,주차,W26,0.0
material_cost,실적,6,주차,W27,0.0
material_cost,실적,7,주차,W27,0.0
material_cost,실적,7,주차,W28,0.0
material_cost,실적,7,주차,W29,0.0
material_cost,실적,7,주차,W30,0.0
material_cost,실적,7,주차,W31,0.0
material_cost,실적,8,주차,W31,0.0
material_cost,실적,8,주차,W32,0.0
material_cost,실적,8,주차,W33,0.0
material_cost,실적,8,주차,W34,0.0
material_cost,실적,8,주차,W35,0.0
material_cost,실적,8,주차,W36,0.0
material_cost,실적,9,주차,W36,0.0
material_cost,실적,9,주차,W37,0.0
material_cost,실적,9,주차,W38,0.0
material_cost,실적,9,주차,W39,0.0
material_cost,실적,9,주차,W40,0.0
material_cost,실적,10,주차,W40,0.0
material_cost,실적,10,주차,W41,0.0
material_cost,실적,10,주차,W42,0.0
material_cost,실적,10,주차,W43,0.0
material_cost,실적,10,주차,W44,0.0
material_cost,실적,11,주차,W45,0.0
material_cost,실적,11,주차,W46,0.0
material_cost,실적,11,주차,W47,0.0
material_cost,실적,11,주차,W48,0.0
material_cost,실적,11,주차,W49,0.0
material_cost,실적,12,주차,W49,0.0
material_cost,실적,12,주차,W50,0.0
material_cost,실적,12,주차,W51,0.0
material_cost,실적,12,주차,W52,0.0
material_cost,실적,12,주차,W53,0.0
processing_cost,목표,1,월계,,-50.9790087297236
processing_cost,목표,1,주차,W1,51.788266103760826
processing_cost,목표,1,주차,W2,51.788266103760826
processing_cost,목표,1,주차,W3,51.788266103760826
processing_cost,목표,1,주차,W4,51.788266103760826
processing_cost,목표,1,주차,W5,51.788266103760826
processing_cost,목표,2,월계,,70.90196080718096
processing_cost,목표,2,주차,W6,-74.56536949756963
processing_cost,목표,2,주차,W7,-74.56536949756963
processing_cost,목표,2,주차,W8,-74.56536949756963
processing_cost,목표,2,주차,W9,-74.56536949756963
processing_cost,목표,3,월계,,264.60966151603685
processing_cost,목표,3,주차,W10,133.9316667213381
processing_cost,목표,3,주차,W11,133.9316667213381
processing_cost,목표,3,주차,W12,133.9316667213381
processing_cost,목표,3,주차,W13,133.9316667213381
processing_cost,목표,3,주차,W14,133.9316667213381
processing_cost,목표,4,월계,,-259.1497720903693
processing_cost,목표,4,주차,W14,-259.1497720903693
processing_cost,목표,4,주차,W15,-259.1497720903693
